Phase,Description,Approx Duration,Approx Condition,Confidence,Notes / Open Questions
1,"A380 takeoff, climb, cruise to release point","~30-60 min","Subsonic, ~35,000 ft",High - standard airliner ops,"Standard airliner operations. A380 carries Stage 2 (8.5m wide) in the gap between fuselage and inboard engine, held by folding articulated arms. Stage 2 carried inverted (inlet facing up) to maximise ground clearance during taxi and rotation."
2,"Arm-guided release: folding arms walk Stage 2 clear of engine nacelle and fuselage","~seconds","Mach ~0.85, ~35,000 ft",Low - needs CFD and mechanism design,"Arms provide active, commanded trajectory during release rather than passive rail. Key gate: Stage 2 must clear engine nacelle and fuselage wake before any ignition. Recontact risk is the primary hazard."
3,"Attitude flip: Stage 2 rolls 180° from inverted-carry to flight orientation","~few seconds","Mach ~0.85, decelerating slightly",Low - depends on control authority and roll inertia,"Booster thrust axis = roll axis so ignition can overlap with flip (phases 3-4 are not strictly sequential). Control law must track orientation sign-change cleanly through the 180° roll."
4,"Booster ignition: small solid or liquid kick stage bridges Mach 0.85 to ~Mach 2.5","~5-15 s burn","Transonic, accelerating",Medium - booster not yet sized,"Can overlap with flip (see phase 3). Hard constraint: no ignition while Stage 2 is still within A380 plume/wake proximity. Booster sizing not yet in mass budget."
5,"Ramjet ignition (only after flip confirmed and inlet aligned)","—","~Mach 2-2.5",Medium,"Hard gate: inlet must be correctly oriented and flow established before light-off. This is the minimum ramjet operating speed established earlier in design."
6,"Ramjet-powered climb and acceleration","~1-3 min (estimate)","Mach 2.5 → 5, climbing to ~20 km",Low - no thrust/drag model yet,"Target separation condition: Mach 5, ~20 km altitude. Ramjet ceiling ~Mach 5-6; Mach 5 chosen as conservative, well-proven operating point."
7,"Ramjet cutoff and Stage 2/3 separation","~seconds","Mach 5, 20 km; q~95 kPa; stagnation temp ~1000°C",Medium on environment / Low on mechanism,"Ramjet cuts off before or at separation. High dynamic pressure (~95 kPa) and thermal environment (~1000°C stagnation) make this harsher than Stage 1/2 separation. Joint design must handle brief thermal exposure. Separation mechanism not yet designed."
8,"Coast gap before Stage 3 ignition (plume-impingement avoidance)","~1-5 s (estimate)","Stage 2 and Stage 3 diverging",Low - gap duration not sized,"Stage 2 must be clear of Stage 3 plume before ignition. Stage 2 faces sudden CG shift (~30% mass loss) requiring immediate trim correction. Ramjet already shut down at this point."
9,"Stage 3 burn to orbit insertion","~seconds to few minutes","Mach 5 → orbital velocity",High - standard rocket physics,"Conventional upper stage rocket (LOX/LH2 baseline, modular solid option). Expendable. Delivers ~3t payload to LEO per current mass budget (see spreadsheet)."
10,"Stage 2 unpowered hypersonic glide, decelerating from Mach 5 to subsonic","~tens of minutes","Mach 5 → ~Mach 0.9, 20 km → cruise altitude","Low - glide trajectory and TPS not modeled","Total specific energy equivalent to ~131 km drop height. Estimated glide range 200-600 km depending on L/D (2.5-4.5 range, not yet modeled with CFD). Waverider shape optimised for hypersonic L/D. TPS required but reentry heating (~1000°C stagnation) far milder than orbital reentry (~Mach 25 for Shuttle)."
11,"Stage 2 rendezvous with A380 tow cable","~minutes","Subsonic cruise, ~35,000 ft",Low - guidance and clamping mechanism not designed,"A380 has deployed a powered cable reel (adapted from military target-tow aircraft technology) with an active drogue at the end. Stage 2 approaches from below/behind, guided by drogue GPS/sensor telemetry. Clamps onto mid-cable section (not tip) to target a lower-oscillation zone. Active drogue stabilises cable geometry and reports position to Stage 2 guidance. Self-securing cam/scissor clamp locks tighter under tow load. This phase eliminates the range constraint entirely: recovery airport is now wherever the A380 can fly, not wherever Stage 2 can glide."
12,"Stage 2 towed by A380 to destination airport","~A380 range","Subsonic cruise",Medium - tow loads are manageable,"Tow tension ~50-80 kN (Stage 2 drag at cruise). Well within A380 thrust margin. Cable must be rated for tension plus dynamic turbulence loads. Cable reel is powered and retractable (standard military tow-reel technology, scaled up). Asymmetric load on A380 tail attachment point needs structural analysis."
13,"Stage 2 releases cable near destination, executes independent landing","~minutes","Subsonic, descending","Medium on landing / Low on cable release mechanism","Stage 2 releases via pyrotechnic or electromechanical clamp release. A380 reels in cable and drogue. Stage 2 executes unpowered approach and landing independently on any suitable runway. Landing gear, subsonic L/D, and approach speed not yet analysed."
14,"Stage 3 deorbit and reentry","—","Orbital → reentry","Not yet discussed","Per original specification: expendable. Burns up on reentry."
